Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
Sr. Salesforce Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d1a9716&cb=1522973200049&jobListingId=2680139872,Part Time, Safelite,Columbus, OH,77000,112000,"java,c#,.net,javascript,rest"
Senior Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_994def3d&cb=1522973200051&jobListingId=2583611520,Part Time, OMRON,San Ramon, CA,98000,149000,
Senior Software Test Engineer- Automation Framework,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=232305&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_54ce8630&cb=1522973200052&jobListingId=2685385602,Part Time, Mediware,Austin, TX,0,0,"java,c#,c++,.net,javascript,rest,soap"
Endpoint Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba37cb8f&cb=1522973200053&jobListingId=2721206847,Part Time, Worksource Oregon,Beaverton, OR,0,0,c++
Director of Software Engineering,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ce15dfe4&cb=1522973200055&jobListingId=2721237750,Part Time, Worksource Oregon,Beaverton, OR,0,0,"java,ruby,python,algorithm,javascript,aws"
Fullstack Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=66506&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a9f8af7a&cb=1522973200056&jobListingId=2608348887,Part Time, Bixly Inc,Fresno, CA,0,0,"java,python,javascript,rest,soap,angularjs"
HCM Software Development Engineer in Test,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=55938&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5090826c&cb=1522973200062&jobListingId=2720560787,Part Time, SAP,Reston, VA,85000,110000,"java,jsp,javascript,rest"
Software Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=212128&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b3fd824&cb=1522973200063&jobListingId=2710795619,Part Time, University of Utah,Salt Lake City, UT,42000,69000,"c++,aws"
Software Development Engineer in Test (SDET),https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=242900&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_594a0b7c&cb=1522973200065&jobListingId=2583876726,Part Time, Intercontinental Exchange,New York, NY,94000,124000,"java,python"
Software Architect,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=212128&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_275031ed&cb=1522973200066&jobListingId=2724494308,Part Time, Halliburton,Houston, TX,89000,129000,"java,c#,c++,.net,javascript,rest,soap"
Software Developer/Engineer (Entry-level or Experienced,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=37049&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79d50970&cb=1522973200068&jobListingId=2719752496,Part Time, Principal Financial Group,Des Moines, IA,56000,73000,"java,j2ee,rest,websphere"
Software Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=107258&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_def51dd5&cb=1522973200070&jobListingId=2712013579,Part Time, Eaton Corporation,Rockville, MD,0,0,rest
"Senior Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_76c7a32c&cb=1522973200071&jobListingId=2611259180,Part Time, Omron Electronics,San Ramon, CA,123000,176000,"c++,algorithm"
Senior Application Engineer (2 Positions),https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=314375&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e50d7000&cb=1522973200072&jobListingId=2652177186,Part Time, Airlines Reporting Corporation,Tampa, FL,86000,116000,"java,j2ee,angularjs"
"Software Developer (Part Time, Temporary)",https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=4348&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f96d5ba&cb=1522973200074&jobListingId=2684545467,Part Time, Allen Institute,Seattle, WA,61000,98000,"java,python,javascript"
"Senior Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e7ee4271&cb=1522973200075&jobListingId=2611383314,Part Time, Omron Adept Technologies,San Ramon, CA,108000,164000,"c++,algorithm"
Programmer/Analyst (Senior Software Engineer),https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=107258&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_008c9593&cb=1522973200076&jobListingId=2712047000,Part Time, PennState,University Park, PA,0,0,"java,c++"
Software Development Engineer in Test (SDET),https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=242900&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea9e3d6f&cb=1522973200078&jobListingId=2583875393,Part Time, Interactive Data,New York, NY,83000,115000,"java,python"
"Senior Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dcfe554b&cb=1522973200079&jobListingId=2611252848,Part Time, OMRON,San Ramon, CA,107000,153000,"c++,algorithm"
"Senior Embedded Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b654afd9&cb=1522973200080&jobListingId=2611383344,Part Time, Omron Adept Technologies,Amherst, NH,73000,103000,"python,algorithm"
Software QA Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_35aab1a6&cb=1522973200082&jobListingId=2724410915,Part Time, Omron Electronics,Renton, WA,69000,102000,"c#,aws"
Project Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=4121&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d1ebb666&cb=1522973200083&jobListingId=2722590687,Part Time, Pro Mach,Greenville, SC,57000,76000,
